video_id,comment
7jQYRdoV9RQ,The irony is everysingle item contains some form of sugar. And not the good one. The one that fucks up your body and rots your teeth. Be it American or Indian
7jQYRdoV9RQ,Amul chocolate is garbage. It’s utter garbage.
7jQYRdoV9RQ,"Let me give a view being an Indian..definitely The Indian products qre cheaper but they also mean inferior quality of products ..the ingredients used arw very very cheap and they also use different taste enhancers which are even banned in many countries ...palm oil and added sugars are most common ,they use it nearly all the products. Basically they are made to be addictive."
7jQYRdoV9RQ,"You said India make cheaper products, but in Indian rupees these are not cheaper!"
7jQYRdoV9RQ,"Difference in INDIAN ONES: Palm Oil, internationally banned ingredients 😢"
7jQYRdoV9RQ,Indian regulations in food are poor. Unhealthy as its way sugary and less quality.
7jQYRdoV9RQ,Food poison kaledha bro 😮😢
7jQYRdoV9RQ,"Bro read the ingredients use , compare the quality of contents"
7jQYRdoV9RQ,I would NEVER touch any of these packages mass produced junk things made anywhere honestly....
7jQYRdoV9RQ,Nothing good ever come out from India.
7jQYRdoV9RQ,You should try the European versions
7jQYRdoV9RQ,Orea in India is very sweet but missing coco chocolate taste. Orea is in worst taste 😂❤🎉
7jQYRdoV9RQ,"Ya Hershey's really tastes like vomit in India also ,we have cadbury go back  Hershey's"
7jQYRdoV9RQ,All cheese and onion chips are gross 😆rehardless which country
7jQYRdoV9RQ,"To be honest some of the Global food brands in India are not getting changed after global changes happen in another country. Lays potato  slices are different in India and USA. India is capable for making thin slices but they are not doing , I wonder both are same brand with same base for making chips but why thicker slices in India?😂😂😂😂"
7jQYRdoV9RQ,"Interesting video my sir,love from india,you gotta try pani puri too"
7jQYRdoV9RQ,ISN'T HE PEWDEIEIE? WHY DOES HE LOOK LIKE PEWDIEPIE? 😭 pin this comment.
7jQYRdoV9RQ,Indian products taste better because they allow harmful ingrediants in the product
7jQYRdoV9RQ,Indian chips are 90% primium air
7jQYRdoV9RQ,Bro those are not Indian pringles!! They are imported from Malaysia man 💀
7jQYRdoV9RQ,"Hershey candies taste fine to me but kind of plain. But I'm American, I'm used to it!"
7jQYRdoV9RQ,KitKat straberry my favourite
7jQYRdoV9RQ,"you should have tried Pringles made in India, not imported one"
7jQYRdoV9RQ,This Bullshit is simply liking Indian food just to get many views/like from India because India is the most populated country in the world..stop this you butthole we knew you lied to us by liking our foods just for your own benefits
7jQYRdoV9RQ,"Just because your audience is indian you dont have to lie about the shit quality as an NRI I know how pathetic the taste difference and quality of ingredients are in india. The sugar content alone in kitkat in india is so differnet, blud just lied in the first 2mins of the video about the kitkats. Such a scam 😂😂😂"
7jQYRdoV9RQ,The real truth is this guy here is broke or otherwise just wanr to make money by indian ordinance this guy just brag india every single video he made so far
7jQYRdoV9RQ,Watching it while having lays ..
7jQYRdoV9RQ,You know Chocos got a big pack in india too
